africa#n. 非洲
america#n. 美国；美洲
australia#n. 澳洲；澳大利亚
canada#n. 加拿大
china#n. 中国
class#n. (学校里的)班
dear#adj. 亲爱的；宝贵的
england#n. 英格兰
evening#n. 傍晚，晚上
in the evening#在晚上
from#prep. 从
glad#adj. 高兴的
japan#n. 日本
kangaroo#n. 袋鼠
lion#n. 狮子
meet#vt. 遇见，见到
no#adv. 不，不是
not#adv. 不，没
our#pron. 我们的
tiger#n. 老虎
about#prep. 关于
beijing#n. 北京
breakfast#n. 早餐
but#conj. 但是，可是
clock#n. 钟
do#vt. 做
homework#n. 家庭作业
do homework#做作业
london#n. 伦敦
lunch#n. 午餐
mouse#n. 老鼠
mickey#米老鼠
new york#n. 纽约
now#adv. 现在
paris#n. 巴黎
supper#n. 晚餐
time#n. 时间
tokyo#n. 东京
watch#vt. 观看，注视
afraid#adj. 害怕的
i'm afraid.#恐怕
afternoon#n. 下午
in the afternoon#在下午
buy#vt. 买
eighteen#num. 十八
eleven#num. 十一
fifteen#num. 十五
fifty#num. 五十
fourteen#num. 十四
forty#num. 四十
granny#n. 老奶奶；祖母；外婆
help#vt. 帮助
ice-cream#n. 冰淇淋
monkey#n. 猴子
much#pron. 许多
nineteen#num. 十九
only#adv. 仅仅，只
please#v. 请
salesman#n. 男售货员
saleswoman#n. 女售货员
seventeen#num. 十七
sixteen#num. 十六
thirteen#num. 十三
thirty#num. 三十
too#adv. 也；太，过分
twelve#num. 十二
twenty#num. 二十
want#vt. 要，想要
yuan#n. 元
ball#n. 球
shirt#n. 男衬衫
there#adv. 那里，那儿
clean#vt. 弄干净
dance#vi. 跳舞
draw#v. 绘画
football#n. 足球
play football#踢足球
here#adv. 这里，这儿
home#n. & adv. 家；在家
at home#在家
in#adv. 在家
noise#n. 噪声，喧闹声
play#v. 玩，打(球)，下(棋)
read#v. 读；朗读
room#n. 房间
sing#v. 唱，唱歌
sleep#vi. 睡觉
tree#n. 树
wait#vi. 等，等候
wait for#等候
we#pron. 我们
work#vi. & n. 工作
write#v. 写
after#prep. 在…以后
at#prep. 在(几点钟)
have breakfast#吃早饭
chinese#adj. & n. 中国的；中国人
early#adv. 早
get up#起床
go to bed#去睡觉，就寝
go to school#去上学，上学
go to work#去工作，上班
have#vt. 有；吃
go home#回家
have lunch#吃午餐
maths#n. 数学
mrs#n. 夫人，太太
parents#n. 父母，双亲
so#adv. 如此，这么
stop#v. 停，停止
have supper#吃晚餐
today#adv. & n. 今天
usually#adv. 通常
when#adv. 什么时候，何时
big#adj. 大的
bright#adj. 明亮的
fat#adj. 胖的，肥的
library#n. 图书馆
like#prep. 像
long#adj. 长的
look for#寻找
me#pron. 我(宾格)
very much#很，非常(修饰动词)
old#adj. 老的；旧的
bag#n. 书包
short#adj. 短的；矮的
small#adj. 小的
tall#adj. 高的
thin#adj. 薄的；瘦的
young#adj. 年轻的
apple#n. 苹果
banana#n. 香蕉
garden#n. 花园，果园，菜园
opener#n. 开具，启子
any#pron. 任何
brush#n. 刷子
dictionary#n. 词典
glue#n. 胶水
hammer#n. 铁锤
ink#n. 墨水
may#v. & aux. 可以
paper#n. 纸；报纸
some#pron. 一些
sorry#adj. 对不起的，抱歉的
spare#adj. 多余的，剩余的
tape#n. 磁带；录音带
ticket#n. (影、剧、车)票
use#vt. 用，使用
all#pron. 全部，一切
also#adv. 也
best#adj. & adv. 最好的(地)
chess#n. 棋
play chess#下棋
collect#vt. 收集
hobby#n. 爱好
orange#n. 桔子，橙子
pingpong#n. 乒乓球
run#vi. 跑，跑步
running#n. 跑步
stamp#n. 邮票
collecting#集邮
swim#vi. 游泳
swimming#n. 游泳
them#pron. 他/她/它们
well#adv. 好
ball-pen#n. 圆珠笔
beer#n. 啤酒
bottle#n. 瓶子
a bottle of#一瓶…
bread#n. 面包
cheap#adj. 便宜的
chicken#n. 鸡；鸡肉
coca cola#n. 可口可乐
coffee#n. 咖啡
cup#n. 茶杯
a cup of#一杯…
glass#n. 玻璃杯
a glass of#一杯
ice#n. 冰
right#adj. 对的，正确的
sir#n. 先生；阁下
waiter#n. (餐馆的)男服务员
water#n. 水
would like#想要
