bag#n. 书包；提包
bed#n. 床
boy#n. 男孩
cake#n. 蛋糕；饼；糕
cat#n. 猫
circle#n. 圆；圈；环
desk#n. 书桌
dog#n. 狗
egg#n. 蛋
english#n. 英语；adj. 英语的
fan#n. 扇子；风扇
fish#n. 鱼
girl#n. 女孩
globe#n. 地球仪
hello#int. 喂，你好
i#pron. 我
key#n. 钥匙
learn#vt. 学；学习
let#vt. 让
let's#让我们
now#adv. 现在
you#pron. 你；你们
bike#n. 自行车
hand#n. 手
horse#n. 马
jacket#n. 短上衣；外套
jar#n. 罐子；坛子；瓶子
kettle#n. (浇水用的)水壶
kite#n. 风筝
lake#n. 湖
letter#n. 信
map#n. 地图
milk#n. 牛奶
newspaper#n. 报纸
nurse#n. 护士
ship#n. 船
are#(你)是
box#n. 盒子；箱子
fine#adj. (身体)很好的
how#adv. 怎样；如何
how are you?#你身体好吗?
nose#n. 鼻子
pen#n. 钢笔
pencil#n. 铅笔
queen#n. 王后；女王
question#n. 问题
robot#n. 机器人
ruler#n. 尺子
sailor#n. 海员；水手
sea#n. 海
table#n. 桌子
tea#n. 茶；茶叶
thank#vt. 谢谢
bus#n. 公共汽车
fox#n. 狐狸
how do you do?#你好!
pupil#n. 学生
taxi#n. 出租汽车
tv#n. 电视；电视机
vest#n. 背心；内衣
wall#n. 墙
watch#n. 手表
yard#n. 院子
zebra#n. 斑马
zoo#n. 动物园
am#(我)是
is#(他；她；它)是
bye#int. 再见
bye-bye!#再见！
hi#int. 喂；你好
morning#n. 早晨；上午
good morning!#早上好！你好！
nice#adj. 令人愉快的
nice to see you.#见到你/您很高兴
see#vt. 看见；看到
this#pron. 这；这个
too#adv. 也
excuse#vt. 原谅
excuse me.#劳驾；对不起；请问
friend#n. 朋友
good#adj. 好的
mr.#n. 先生
my#pron. 我的
name#n. 名字；姓名
new#adj. 新的
teacher#n. 教师
welcome#adj. 受欢迎的
you're welcome.#欢迎你；不用谢
what#pron. 什么
your#pron. 你的；你们的
and#conj. 和；而
aunt#n. 伯母；婶；姑；姨
brother#n. 兄；弟
father#n. 父亲
grandma#n. (口语)奶奶；外婆
grandpa#n. (口语)爷爷；外公
he#pron. 他
her#pron. 她的
his#pron. 他的
man#n. 男人
mother#n. 母亲
she#pron. 她
sister#n. 姐；妹
that#pron. 那；那个
the#art. 这；那
uncle#n. 叔；伯；舅；姑父
who#pron. 谁
woman#n. 妇女；女人
yes#adv. 是；是的
a#art. 一(个；件)
book#n. 书
pencil-box#n. 铅笔盒
eraser#n. 橡皮擦
go#vi. 去
go and see#去看看
it#pron. 它
maybe#adv. 可能；大概；也许
oh#int. 哦！啊！
be#vi. 是(原形)
beside#prep. 在…旁边
can't#不能
cap#n. 无边帽；便帽
chair#n. 椅子
find#vt. 找到
for#prep. 为；给
hat#n. 帽子；礼帽
hurry#vi. 赶快
hurry up!#快点！
in#prep. 在…里/内
late#adj. & adv. 晚的(地)
mum#(口语)妈妈；妈咪
office#n. 办公室
on#prep. 在…上(面)
school#n. 学校
there#adv. 在那里；往那里
over there#在另一边；在/往那边
under#prep. 在…下面
where#adv. 在哪里；往哪里
whose#pron. 谁的
can#aux. v. 能；能够
come#vi. 来
come out#出来
count#vt. 数；点数
eight#num. 八
five#num. 五
four#num. 四
look#vi. 看；瞧
many#adj. 许多的
nine#num. 九
no.#n. 数子；号码
one#num. 一
postcode#n. 邮政编码
room#n. 房间
seven#num. 七
six#num. 六
star#n. 星
telephone#n. 电话
ten#num. 十
three#num. 三
two#num. 二
black#adj. 黑色的
blue#adj. 蓝色的
brown#adj. 褐色的；棕色的
car#n. 汽车；小卧车
colour#n. 颜色
dress#n. 女服；(统指)服装
green#adj. 绿色的
have#vt. 有
like#vt. 喜欢
look at#看
white#adj. 白色的
yellow#adj. 黄色的
birthday#n. 生日
christmas#n. 圣诞节
gift#n. 礼物
happy#adj. 幸福的；快乐的
merry#adj. 高兴的；愉快的
same#adj. 同样的；同一的
thanks#n. 谢谢(只用复数)
very#adv. 很；非常
very much#很；非常
wish#vt. 希望
year#n. 年
its#pron. 它的
panda#n. 熊猫
tree#n. 树
