mecca#n. 众人渴望去的地方#5mekE
replica#n. 复制品#5replikE
barranca#n. 峡谷#bE5rANkE
armada#n. 舰队#B:5mB:dE
gravida#n. 孕妇#5grAvidE
agenda#n. 议程#E5dVendE
panacea#n. 万灵药#pAnE5siE
diarrhoea#n. 腹泻#
nausea#n. 作呕，恶心#5nC:FjE
saga#n. 英勇故事，长篇小说#5sB:gE
apocrypha#n. 伪经，伪书#E5pCkrifE
phobia#n. 恐惧症#5foubiE
xenophobia#n. 仇外，排外#5zenE5foubiE
acrophobia#n. 高空恐怖症#AkrE5foubiE
claustrophobia#n. 幽闭恐怖症#klC:strE5foubiE
fascia#n. 饰带，(商店上挂的)招牌#5feiFiE
acedia#n. 懒惰，无精打彩的样子#E5si:diE
nostalgia#n. 怀旧之情，思乡病#nB5stAldViE
myalgia#n. 肌痛#mBi5AldVE
branchia#n. 鳃#5brANkiE
saturnalia#n. 纵情狂欢#5sAtE5neiljE
penetralia#n. 最深处，秘藏#peni5treiljE
haemophilia#n. 血友病，出血不止#5hi:mE5filiE
anemia#n. 贫血，贫血症#E5ni:miE
mania#n. 癫狂，狂热#5meinjE
megalomania#n. 自大狂#megElE5meiniE
pyromania#n. 纵火狂#pBirE5meiniE
dipsomania#n. 嗜酒狂#dipsou5meiniE
kleptomania#n. 盗窃癖#5kleptE5meiniE
gardenia#n. 栀子花#gB:5di:njE
schizophrenia#n. 精神分裂症#skizE5fri:niE
insignia#n. 徽章，袖章#in5signiE
actinia#n. 海葵，刺水母#Ak5tiniE
insomnia#n. 失眠症#in5sBmniE
pneumonia#n. 肺炎#nju:5mEunjE
paranoia#n. 偏执狂，多疑症#pArE5nCiE
cornucopia#n. 象征丰收的羊角（羊角装饰器内装满花、果、谷物等?#kC:nju5koupiE
nyctalopia#n. 夜盲症#niktE5loupiE
myopia#n. 近视，缺乏远见#mBi5oupiE
oxyopia#n. 视觉敏锐#5Cksi5oupiE
aria#n. 独唱曲，咏叹调#5B:iE
hypochondria#n. 忧郁症，臆想病#
bacteria#n. 细菌#bAk5tiEriE
hysteria#n. 歇斯底里症，过度兴奋#his5tiEriE
dysphoria#n. 烦躁不安#dis5fC:riE
euphoria#n. 幸福愉快感#ju:5fC:riE
aphasia#n. 失语症#E5feizjiE
fantasia#n. 幻想曲，组合乐曲#fAn5teiViE
amnesia#n. 健忘症#Am5ni:zjE
ambrosia#n. 神仙食品，美味#Am5brouViE
dyspepsia#n. 消化不良#dis5pepsiE
inertia#n. 惰性，懒惰#i5nE:FjE
minutia#n. 微枝末节，细节#mBi5nju:FiE
trivia#n. 琐事，无价值之物#5triviE
cachexia#n. 极度瘦弱，恶病#kE5kesiE
dyslexia#n. 阅读障碍#dis5leksiE
anorexia#n. 厌食症#AnE5reksiE
anoxia#n. 缺氧症#A5nCksiE
asphyxia#n. 窒息#As5fiksiE
candela#n. 烛光（发光强度单位）#kAn5di:lE
stela#n. 刻有碑文的石柱，石碑，匾额 #
