stove#n. (煮饭取暖用之)火炉#stEuv
 start#n. 惊跳#stB:t
 shawl#n. 披肩#FC:l
 upturn#vt. 往上翻#Qp5tE:n
 brow#n. 前额#brBu
 choose#vt. 选择#tFu:z
 path#n. 道路#pB:W
 periodic#adj. 周期性#5piEri5Cdik
 jail#n. 监狱#dVeil
 distribute#vt. 散发#dis5tribju:t
 leaflet#n. 传单#5li:flit
 gendarme#n. 宪兵#5VB:ndB:m
 alarm#n. 惊慌#E5lB:m
 first-class#a. 头等的#5fE:st-5klB:s
 problem#n. (需要解决的)问题#5prCblEm
 pedlar#n. 叫卖小贩#5pedlE
 dismiss#vt. 打发掉；开除#dis5mis
 gossip#n. 爱说闲话的人#5gCsip
 inspiration#n. 灵感#inspE5reiFEn
 simply#adv. 非常；简直#5simpli
 weight#n. 重量#weit
 roughly#adv. 粗野地#5rQfli
 curse#vt. 咒骂#kE:s
 ought#v. aux. 应该#C:t
 devil#n. 魔鬼；恶人#5devl
 load#n. 负担#lEud
 wipe#vt. 擦(干净)#wBip
 sweat#n. 汗水#swet
 porridge#n. 粥，稀饭#5pCridV
 password#n. 暗语；口令#pAs5wEd
 peep#vi. 窥视；偷看#pi:p
 light#vi. 愉快起来#lBit
 packet#n. 包；捆#5pAkit
 breast#n. 胸；上衣胸部的口袋#brest
 jacket#n. 短外衣#5dVAkit
 noodle#n. (常用复数)面条#5nu:dl
 flare#vi. 闪烁；发怒#fleE
 thoroughly#adv. 彻底地；透彻地#5WQrEli
 scatter#vi. 四散#5skAtE
 boss#n. 工头，老板#bCs
 regularly#adv. 经常地#5regjulEli
 revelation#n. 启示#revi5leiFEn
 to be used to#习惯于#
 to burst out#冲口而出#
 a packet of#一包；一捆#
 ancestor#n. 祖宗#5AnsistE
 maternal#adj. 母方的#mE5tE:nl
 maternal grandmother#外祖母#
 porch#n. (上有顶棚的)门廊#pC:tF
 rocking chair#摇椅#
 describe#vt. 形容，描写#dis5krBib
 fascinate#vt. 使人着迷#5fAsineit
 plantation#n. 种植园#plAn5teiFEn
 savage#adj. 凶猛的#5sAvidV
 professional#adj. 干这一行为生的#prE5feFEnl
 promptly#adv. 立刻地#5prCmptli
 axe#n. 斧#
 stump#n. 树桩#stQmp
 hideous#adj. 令人憎恶的#5hidiEs
 calculating#adj. 精于打算的#5kAlkjuleitiN
 planter#n. 种植园主#5plB:ntE
 cripple#vt. 使跛脚#5kripl
 native#adj. 本族的#5neitiv
 tongue#n. 语言#tQN
 banjo#n. 一种类似吉他的琴#5bAndVEu
 guitar#n. 吉他，六弦琴#gi5tB:
 syllable#n. 音节#5silEbl
 associate#vt. 联系#E5sEuFieit
 edge#n. 边界#edV
 capture#vt. 捕获#5kAptFE
 kidnap#vt. 绑架#5kidnAp
 slavery#n. 奴隶制度#5sleivEri
 passion#n. 激情#5pAFEn
 origin#n. 出身#5CridVin
 generation#n. 一代(人)#dVenE5reiFEn
 occur#vi. 想到#E5kE:
 utter#vt. 发出(声音)#5QtE
 object#n. 物#5CbdVikt Eb5dVekt
 consult#vt. 请教#kEn5sQlt
 scholar#n. 学者#5skClE
 dialect#n. 土语#5dBiElekt
 instrument#n. 乐器#5instrumEnt
 seek#vt. 请求，征求#si:k
 clue#n. 线索#klu:
 elder#n. 长者#5eldE
